donor_group,aid_type,n_donors,variable,coef,std_err,p_value,ci_lower,ci_upper,sig
reluctant,Financial,4,infra_lag5,-0.04089229260899406,0.0800065871125176,0.6104842157677774,-0.19770520334952857,0.11592061813154043,
reluctant,Financial,4,infra_lag6,0.3058550681894646,0.17449035294509838,0.08292350787409242,-0.03614602358292818,0.6478561599618574,*
reluctant,Financial,4,battle_lag1,-0.007722151330151077,0.006574462697790301,0.24316650515940763,-0.020608098217820066,0.005163795557517913,
reluctant,Financial,4,battle_lag2,0.003629876504582797,0.004040107089122622,0.37126038266152106,-0.004288733390097541,0.011548486399263137,
reluctant,Financial,4,battle_lag3,0.003350267294992024,0.006951399007091073,0.6309696111323375,-0.010274474758906478,0.016975009348890527,
reluctant,Financial,4,battle_lag4,-0.005251228457283358,0.020033915767908327,0.7938110032612871,-0.04451770336238368,0.034015246447816956,
reluctant,Financial,4,battle_lag5,-0.013859318432832961,0.009470995206669788,0.14674513377899245,-0.03242246903790574,0.004703832172239823,
reluctant,Financial,4,battle_lag6,-0.010145290329578638,0.014975184190108024,0.4997874889072831,-0.03949665134219037,0.019206070683033087,
reluctant,Financial,4,month_2,7.338613213636945,4.12078199169189,0.07819738187840053,-0.7381194900791606,15.41534591735305,*
reluctant,Financial,4,month_3,-7.488399535121901,23.65667584282526,0.7522983945665924,-53.8554841870594,38.8786851168156,
reluctant,Financial,4,month_4,-0.42774879702594115,21.368963051393997,0.9840724616183687,-42.310916377758176,41.45541878370629,
reluctant,Financial,4,month_5,-11.447369535570349,29.234963573610468,0.6962758863558169,-68.74789813984687,45.85315906870616,
reluctant,Financial,4,month_6,-5.6032362596486465,20.80954609568667,0.7883239617370292,-46.38994660719452,35.183474087897224,
reluctant,Financial,4,month_7,-11.841914040837418,33.94837425851571,0.7280120042525706,-78.38072758752821,54.696899505853374,
reluctant,Financial,4,month_8,4.134411584900473,9.464688806899693,0.6632509153333161,-14.416378476622924,22.68520164642387,
reluctant,Financial,4,month_9,-7.184271873799309,21.087811711126285,0.7341101766393301,-48.516382827606826,34.147839080008204,
reluctant,Financial,4,month_10,-7.739488443535681,21.716093942654084,0.7223527015418738,-50.30303257113768,34.82405568406632,
reluctant,Financial,4,month_11,3.493398650987081,6.009982971244736,0.5624673504498738,-8.286167972652603,15.272965274626763,
reluctant,Financial,4,month_12,9.463240103781517,17.56882747909147,0.5914235607787073,-24.97166175523777,43.8981419628008,
reluctant,Humanitarian,4,infra_lag1,-0.26213868045647265,0.27437260551160775,0.34184666701683053,-0.7999089872592238,0.2756316263462785,
reluctant,Humanitarian,4,infra_lag2,0.15513062189630952,0.1756162068327263,0.37932485153098394,-0.18907714349583402,0.49933838728845303,
reluctant,Humanitarian,4,infra_lag3,-0.12594377601589415,0.16182235467677994,0.43837715377380926,-0.44311559118238286,0.19122803915059453,
reluctant,Humanitarian,4,infra_lag4,-0.06289827072795112,0.037318454761528494,0.09525510044857777,-0.13604244206054697,0.010245900604644725,*
reluctant,Humanitarian,4,infra_lag5,-0.16559170691949995,0.17962527241614476,0.35898015036451314,-0.5176572408551436,0.18647382701614376,
reluctant,Humanitarian,4,infra_lag6,0.26077444890071044,0.26604357196461403,0.3295331473811143,-0.2606709521499331,0.782219849951354,
reluctant,Humanitarian,4,battle_lag1,0.004373871408099371,0.003603023146144716,0.22784258218443076,-0.002688053958344272,0.011435796774543015,
reluctant,Humanitarian,4,battle_lag2,0.006887581424041951,0.00811732946189176,0.39833639016043776,-0.0090223843212659,0.022797547169349803,
reluctant,Humanitarian,4,battle_lag3,-0.0006027445801102012,0.0010100511224861348,0.552126520603712,-0.0025824447801830255,0.001376955619962623,
reluctant,Humanitarian,4,battle_lag4,-0.016307960080976198,0.017834194599399573,0.36286048428087136,-0.05126298149579936,0.018647061333846967,
reluctant,Humanitarian,4,battle_lag5,-0.0024962681503710588,0.0015023992261426807,0.09997635070406408,-0.005440970633610712,0.00044843433286859526,*
reluctant,Humanitarian,4,battle_lag6,-0.02369835885321727,0.024917952768244354,0.34404129661451455,-0.07253754627897621,0.025140828572541664,
reluctant,Humanitarian,4,month_2,14.485015461571527,14.393462628038762,0.3168533318545075,-13.726171289384448,42.6962022125275,
reluctant,Humanitarian,4,month_3,-19.873090831784662,21.15395885906634,0.3499332758163738,-61.33485019555468,21.58866853198536,
reluctant,Humanitarian,4,month_4,-4.133214850041818,5.657058694596934,0.4668420634365631,-15.221049891451809,6.954620191368172,
reluctant,Humanitarian,4,month_5,-27.207961712762444,30.690022267076063,0.3776128857313079,-87.36040535623152,32.944481930706644,
reluctant,Humanitarian,4,month_6,-9.13452683926955,11.72039838885365,0.4377405991122427,-32.1065076814227,13.837454002883602,
reluctant,Humanitarian,4,month_7,-41.51347455223381,42.906751772774534,0.3357896697923519,-125.61070802687189,42.58375892240428,
reluctant,Humanitarian,4,month_8,-32.5626266073671,32.34412136042069,0.3166644846897444,-95.95710447379165,30.831851259057444,
reluctant,Humanitarian,4,month_9,-30.01631009435143,31.41623440330502,0.3418324938044832,-91.59212952482926,31.559509336126407,
reluctant,Humanitarian,4,month_10,-28.322543421552954,29.40446332314502,0.3379422164168404,-85.9552915349172,29.310204691811283,
reluctant,Humanitarian,4,month_11,-10.39194351594703,9.573049523373335,0.2804877193328261,-29.155120581758766,8.371233549864705,
reluctant,Humanitarian,4,month_12,-13.966986157444625,16.490564456003316,0.39918706122869607,-46.28849249121112,18.354520176321877,
